GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ShopApplication - spring boot,com.app.validator,Validator,0,31,0,6,0,7,0,7,0,4
ShopApplication - spring boot,com.app.controller.dto,ResponseDto,0,19,0,0,0,5,0,3,0,3
ShopApplication - spring boot,com.app.controller.dto,ClientDto,0,33,0,0,0,8,0,2,0,2
ShopApplication - spring boot,com.app.model,Order,0,28,0,0,0,7,0,2,0,2
ShopApplication - spring boot,com.app.model,Product,0,30,0,0,0,8,0,2,0,2
ShopApplication - spring boot,com.app.model,Client,0,35,0,0,0,9,0,2,0,2
ShopApplication - spring boot,com.app.model,Role,0,21,0,0,0,4,0,1,0,1
ShopApplication - spring boot,com.app.security.service.impl,AppUserDetailsServiceImpl,0,37,0,0,0,10,0,3,0,3
ShopApplication - spring boot,com.app.security.service.impl,TokenServiceImpl,0,226,0,6,0,56,0,14,0,11
ShopApplication - spring boot,com.app.persistence.entity,ProductEntity,0,13,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.persistence.entity,UserEntity,0,136,0,0,0,47,0,7,0,7
ShopApplication - spring boot,com.app.persistence.entity,VerificationTokenEntity,0,12,0,2,0,1,0,2,0,1
ShopApplication - spring boot,com.app.persistence.entity,ClientEntity,0,15,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.persistence.entity,OrderEntity,0,12,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.exception,UserAlreadyActivatedException,0,4,0,0,0,2,0,1,0,1
ShopApplication - spring boot,com.app.exception,InvalidCredentialsException,0,4,0,0,0,2,0,1,0,1
ShopApplication - spring boot,com.app.exception,ResourceAlreadyExistException,0,4,0,0,0,2,0,1,0,1
ShopApplication - spring boot,com.app.converter.many.impl,ShopConverterImpl,0,20,0,0,0,6,0,3,0,3
ShopApplication - spring boot,com.app.converter.many.impl,ProductsConverterImpl,0,62,0,0,0,24,0,8,0,8
ShopApplication - spring boot,com.app.converter.many.impl,ClientsConverterImpl,0,53,0,0,0,20,0,7,0,7
ShopApplication - spring boot,com.app.converter.many.impl,OrdersConverterImpl,0,9,0,0,0,5,0,2,0,2
ShopApplication - spring boot,com.app.service.impl,ShopStatisticServiceImpl,0,164,0,4,0,45,0,16,0,14
ShopApplication - spring boot,com.app.service.impl,EmailServiceImpl,0,18,0,0,0,6,0,1,0,1
ShopApplication - spring boot,com.app.service.impl,UserServiceImpl,0,371,0,16,0,69,0,27,0,19
ShopApplication - spring boot,com.app.statistic.impl,StatisticImpl,0,66,0,0,0,14,0,3,0,3
ShopApplication - spring boot,com.app.controller,ShopController,0,71,0,0,0,13,0,7,0,7
ShopApplication - spring boot,com.app.controller,UserController,0,90,0,2,0,15,0,10,0,9
ShopApplication - spring boot,com.app.controller,ClientController,0,53,0,0,0,6,0,6,0,6
ShopApplication - spring boot,com.app.controller,OrderController,0,53,0,0,0,10,0,6,0,6
ShopApplication - spring boot,com.app.controller,ProductController,0,124,0,4,0,29,0,12,0,10
ShopApplication - spring boot,com.app.controller,GlobalExceptionHandler,0,33,0,0,0,6,0,6,0,6
ShopApplication - spring boot,com.app.security.config,AppWebSecurityConfig,0,292,0,0,0,63,0,10,0,10
ShopApplication - spring boot,com.app.listener,UserActivationListener,0,50,0,0,0,14,0,2,0,2
ShopApplication - spring boot,com.app.persistence.repository.specification.impl,ProductSpecificationImpl,0,57,0,8,0,13,0,7,0,3
ShopApplication - spring boot,com.app.converter.single.impl,OrderConverterImpl,0,9,0,0,0,3,0,3,0,3
ShopApplication - spring boot,com.app.converter.single.impl,ProductConverterImpl,0,9,0,0,0,3,0,3,0,3
ShopApplication - spring boot,com.app.converter.single.impl,ClientConverterImpl,0,9,0,0,0,3,0,3,0,3
ShopApplication - spring boot,com.app.validator.impl,ClientDtoValidator,0,67,0,16,0,17,0,9,0,1
ShopApplication - spring boot,com.app.validator.impl,NewPasswordValidator,0,33,0,8,0,10,0,5,0,1
ShopApplication - spring boot,com.app.validator.impl,EmailDtoValidator,0,19,0,4,0,6,0,4,0,2
ShopApplication - spring boot,com.app.validator.impl,ProductDtoValidator,0,130,0,22,0,33,0,19,0,8
ShopApplication - spring boot,com.app.validator.impl,PasswordValidator,0,53,0,8,0,14,0,7,0,3
ShopApplication - spring boot,com.app.validator.impl,CreateUserDtoValidator,0,104,0,24,0,26,0,13,0,1
ShopApplication - spring boot,com.app.validator.impl,ChangePasswordValidator,0,33,0,8,0,10,0,5,0,1
ShopApplication - spring boot,com.app.controller.dto.order,OrderFindDto,0,12,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.controller.dto.order,ClientAndDebitDto,0,9,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.controller.dto.order,GroupByDto,0,9,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.controller.dto.order,OrdersAddDto,0,22,0,0,0,5,0,3,0,3
ShopApplication - spring boot,com.app.controller.dto.order,CategoryAndPriceStatisticDto,0,9,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.controller.dto.order,OrderAddDto,0,9,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.persistence.repository.specification.specification,ProductFilterSpecification,0,12,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.security.dto,AuthenticationDto,0,9,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.security.dto,UsernamePasswordAuthenticationTokenDto,0,9,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.security.dto,UserDetailsDto,0,15,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.security.dto,AuthenticationErrorDto,0,6,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.security.dto,RefreshTokenDto,0,6,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.security.dto,TokensDto,0,9,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.security.filter,AppAuthenticationFilter,3,85,0,0,1,24,0,3,0,3
ShopApplication - spring boot,com.app.security.filter,AppAuthorizationFilter,0,26,0,2,0,9,0,3,0,2
ShopApplication - spring boot,com.app.controller.dto.user,NewPasswordDto,0,12,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.controller.dto.user,EmailDto,0,6,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.controller.dto.user,CreateUserDto,0,44,0,0,0,11,0,2,0,2
ShopApplication - spring boot,com.app.controller.dto.user,UserEmailRefreshToken,0,6,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.controller.dto.user,UserTokenActivationDto,0,9,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.controller.dto.user,ChangeRoleDto,0,9,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.controller.dto.user,CreateAdminUserDto,0,41,0,0,0,11,0,2,0,2
ShopApplication - spring boot,com.app.controller.dto.user,ChangePasswordDto,0,12,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.controller.dto.user,UserActivationDto,0,6,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.controller.dto.product,ProductDto,0,27,0,0,0,7,0,2,0,2
ShopApplication - spring boot,com.app.controller.dto.product,ProductsFilterDto,0,22,0,0,0,2,0,2,0,2
ShopApplication - spring boot,com.app.controller.dto.product,StatisticDto,0,12,0,0,0,1,0,1,0,1
ShopApplication - spring boot,com.app.service.impl.crud,OrderServiceImpl,0,99,0,2,0,24,0,7,0,6
ShopApplication - spring boot,com.app.service.impl.crud,GenericServiceImpl,0,73,0,2,0,16,0,6,0,5
ShopApplication - spring boot,com.app.service.impl.crud,ClientServiceImpl,0,82,0,4,0,18,0,6,0,4
ShopApplication - spring boot,com.app.service.impl.crud,ProductServiceImpl,0,114,0,8,0,30,0,11,0,7
ShopApplication - spring boot,com.app.config,AppConfig,0,11,0,0,0,3,0,3,0,3
